action	sys	userno	topic	count
focus_doc	vsn	04	40009	12
focus_doc	vsn	05	40021	30
focus_doc	vsn	06	40048	33
focus_doc	vsn	07	40048	27
focus_doc	vsn	08	40009	13
focus_doc	vsn	09	40021	13
focus_doc	vsn	11	40048	9
focus_doc	vsn	12	40009	20
focus_doc	vsn	13	40009	6
focus_doc	vsn	14	40021	20
focus_doc	vsn	15	40048	9
focus_doc	vsn	16	40048	17
focus_doc	vsn	17	40009	15
focus_doc	vsn	18	40021	20
focus_doc	vsn	19	40021	12
focus_doc	vsn	20	40048	6
focus_doc	vsn	21	40009	21
focus_doc	vsn	22	40009	27
focus_doc	vsn	23	40021	9
focus_doc	vsn	24	40048	18
focus_doc	vsn	25	40048	7
focus_doc	vsn	26	40009	16
focus_doc	vsn	27	40021	26
focus_doc	vsn	28	40021	9
focus_doc	vsn	30	40009	8
focus_doc	vsn	31	40009	24
focus_doc	vsn	32	40021	19
focus_doc	vsn	33	40048	9
focus_doc	vsn	34	40048	13
focus_doc	vsn	35	40009	19
focus_doc	vsn	36	40021	40
focus_doc	vsn	37	40021	25
login	vse	03	40021	1
login	vse	04	40021	1
login	vse	05	40048	1
login	vse	06	40009	1
login	vse	07	40009	1
login	vse	08	40021	1
login	vse	09	40048	1
login	vse	11	40009	2
login	vse	12	40021	1
login	vse	13	40021	1
login	vse	14	40048	1
login	vse	15	40009	1
login	vse	16	40009	1
login	vse	17	40021	1
login	vse	18	40048	1
login	vse	19	40048	1
login	vse	20	40009	1
login	vse	21	40021	1
login	vse	22	40021	1
login	vse	23	40048	1
login	vse	24	40009	1
login	vse	25	40009	1
login	vse	26	40021	1
login	vse	27	40048	2
login	vse	28	40048	2
login	vse	30	40021	1
login	vse	31	40021	2
login	vse	32	40048	1
login	vse	33	40009	1
login	vse	34	40009	1
login	vse	35	40021	1
login	vse	36	40048	1
login	vse	37	40048	1
login	vsn	03	40009	1
login	vsn	04	40009	1
login	vsn	05	40021	1
login	vsn	06	40048	1
login	vsn	07	40048	1
login	vsn	08	40009	1
login	vsn	09	40021	1
login	vsn	11	40048	1
login	vsn	12	40009	1
login	vsn	13	40009	1
login	vsn	14	40021	2
login	vsn	15	40048	1
login	vsn	16	40048	1
login	vsn	17	40009	1
login	vsn	18	40021	1
login	vsn	19	40021	1
login	vsn	20	40048	1
login	vsn	21	40009	1
login	vsn	22	40009	2
login	vsn	23	40021	1
login	vsn	24	40048	1
login	vsn	25	40048	2
login	vsn	26	40009	1
login	vsn	27	40021	3
login	vsn	28	40021	1
login	vsn	30	40009	1
login	vsn	31	40009	3
login	vsn	32	40021	1
login	vsn	33	40048	1
login	vsn	34	40048	1
login	vsn	35	40009	1
login	vsn	36	40021	1
login	vsn	37	40021	1
logout	vse	03	40021	1
logout	vse	04	40021	1
logout	vse	05	40048	1
logout	vse	06	40009	1
logout	vse	07	40009	1
logout	vse	08	40021	1
logout	vse	09	40048	1
logout	vse	11	40009	2
logout	vse	12	40021	1
logout	vse	13	40021	1
logout	vse	14	40048	1
logout	vse	15	40009	1
logout	vse	16	40009	1
logout	vse	17	40021	1
logout	vse	18	40048	1
logout	vse	19	40048	1
logout	vse	20	40009	1
logout	vse	21	40021	1
logout	vse	22	40021	1
logout	vse	23	40048	1
logout	vse	24	40009	1
logout	vse	25	40009	1
logout	vse	26	40021	1
logout	vse	27	40048	1
logout	vse	28	40048	2
logout	vse	30	40021	1
logout	vse	31	40021	2
logout	vse	32	40048	1
logout	vse	33	40009	1
logout	vse	34	40009	1
logout	vse	35	40021	1
logout	vse	36	40048	1
logout	vse	37	40048	1
logout	vsn	03	40009	1
logout	vsn	04	40009	1
logout	vsn	05	40021	1
logout	vsn	06	40048	1
logout	vsn	07	40048	1
logout	vsn	08	40009	1
logout	vsn	09	40021	1
logout	vsn	11	40048	1
logout	vsn	12	40009	1
logout	vsn	13	40009	1
logout	vsn	14	40021	2
logout	vsn	15	40048	1
logout	vsn	16	40048	1
logout	vsn	17	40009	1
logout	vsn	18	40021	1
logout	vsn	19	40021	1
logout	vsn	20	40048	1
logout	vsn	21	40009	1
logout	vsn	22	40009	1
logout	vsn	23	40021	1
logout	vsn	24	40048	1
logout	vsn	25	40048	2
logout	vsn	26	40009	1
logout	vsn	27	40021	2
logout	vsn	28	40021	1
logout	vsn	30	40009	1
logout	vsn	31	40009	2
logout	vsn	32	40021	1
logout	vsn	33	40048	1
logout	vsn	34	40048	1
logout	vsn	35	40009	1
logout	vsn	36	40021	1
logout	vsn	37	40021	1
marquee_selection	vse	03	40021	3
marquee_selection	vse	04	40021	3
marquee_selection	vse	07	40009	1
marquee_selection	vse	08	40021	2
marquee_selection	vse	09	40048	1
marquee_selection	vse	11	40009	7
marquee_selection	vse	13	40021	5
marquee_selection	vse	14	40048	11
marquee_selection	vse	15	40009	4
marquee_selection	vse	16	40009	5
marquee_selection	vse	17	40021	8
marquee_selection	vse	18	40048	4
marquee_selection	vse	19	40048	6
marquee_selection	vse	21	40021	13
marquee_selection	vse	23	40048	4
marquee_selection	vse	24	40009	5
marquee_selection	vse	25	40009	4
marquee_selection	vse	26	40021	3
marquee_selection	vse	27	40048	1
marquee_selection	vse	30	40021	1
marquee_selection	vse	31	40021	6
marquee_selection	vse	32	40048	2
marquee_selection	vse	34	40009	1
marquee_selection	vse	35	40021	2
marquee_selection	vse	36	40048	1
marquee_selection	vse	37	40048	1
marquee_selection	vsn	03	40009	4
marquee_selection	vsn	06	40048	1
marquee_selection	vsn	08	40009	4
marquee_selection	vsn	09	40021	3
marquee_selection	vsn	11	40048	2
marquee_selection	vsn	13	40009	4
marquee_selection	vsn	14	40021	6
marquee_selection	vsn	15	40048	5
marquee_selection	vsn	16	40048	6
marquee_selection	vsn	17	40009	4
marquee_selection	vsn	19	40021	2
marquee_selection	vsn	21	40009	4
marquee_selection	vsn	22	40009	3
marquee_selection	vsn	23	40021	3
marquee_selection	vsn	24	40048	3
marquee_selection	vsn	26	40009	5
marquee_selection	vsn	27	40021	4
marquee_selection	vsn	31	40009	3
marquee_selection	vsn	32	40021	4
marquee_selection	vsn	33	40048	4
marquee_selection	vsn	35	40009	3
marquee_selection	vsn	36	40021	2
marquee_selection	vsn	37	40021	1
move_poi	vse	03	40021	43
move_poi	vse	04	40021	30
move_poi	vse	05	40048	9
move_poi	vse	06	40009	1
move_poi	vse	07	40009	1
move_poi	vse	08	40021	16
move_poi	vse	09	40048	8
move_poi	vse	11	40009	45
move_poi	vse	13	40021	10
move_poi	vse	14	40048	19
move_poi	vse	15	40009	17
move_poi	vse	16	40009	14
move_poi	vse	17	40021	19
move_poi	vse	18	40048	14
move_poi	vse	19	40048	57
move_poi	vse	21	40021	14
move_poi	vse	22	40021	20
move_poi	vse	23	40048	7
move_poi	vse	24	40009	37
move_poi	vse	25	40009	38
move_poi	vse	26	40021	23
move_poi	vse	27	40048	9
move_poi	vse	28	40048	8
move_poi	vse	30	40021	21
move_poi	vse	31	40021	63
move_poi	vse	32	40048	60
move_poi	vse	33	40009	4
move_poi	vse	34	40009	11
move_poi	vse	35	40021	10
move_poi	vse	36	40048	15
move_poi	vse	37	40048	3
move_poi	vsn	03	40009	37
move_poi	vsn	04	40009	6
move_poi	vsn	06	40048	6
move_poi	vsn	08	40009	16
move_poi	vsn	09	40021	12
move_poi	vsn	11	40048	33
move_poi	vsn	12	40009	11
move_poi	vsn	13	40009	2
move_poi	vsn	14	40021	31
move_poi	vsn	15	40048	18
move_poi	vsn	16	40048	22
move_poi	vsn	17	40009	19
move_poi	vsn	18	40021	5
move_poi	vsn	19	40021	62
move_poi	vsn	21	40009	7
move_poi	vsn	22	40009	17
move_poi	vsn	23	40021	14
move_poi	vsn	24	40048	56
move_poi	vsn	26	40009	14
move_poi	vsn	27	40021	14
move_poi	vsn	28	40021	4
move_poi	vsn	30	40009	17
move_poi	vsn	31	40009	67
move_poi	vsn	32	40021	33
move_poi	vsn	33	40048	19
move_poi	vsn	34	40048	4
move_poi	vsn	35	40009	9
move_poi	vsn	36	40021	34
open_doc	vse	03	40021	14
open_doc	vse	04	40021	13
open_doc	vse	05	40048	30
open_doc	vse	06	40009	5
open_doc	vse	07	40009	11
open_doc	vse	08	40021	12
open_doc	vse	09	40048	11
open_doc	vse	11	40009	15
open_doc	vse	12	40021	19
open_doc	vse	13	40021	7
open_doc	vse	14	40048	13
open_doc	vse	15	40009	15
open_doc	vse	16	40009	17
open_doc	vse	17	40021	11
open_doc	vse	18	40048	11
open_doc	vse	19	40048	9
open_doc	vse	20	40009	16
open_doc	vse	21	40021	21
open_doc	vse	22	40021	20
open_doc	vse	23	40048	8
open_doc	vse	24	40009	13
open_doc	vse	25	40009	10
open_doc	vse	26	40021	5
open_doc	vse	27	40048	32
open_doc	vse	28	40048	5
open_doc	vse	30	40021	12
open_doc	vse	31	40021	20
open_doc	vse	32	40048	19
open_doc	vse	33	40009	10
open_doc	vse	34	40009	4
open_doc	vse	35	40021	12
open_doc	vse	36	40048	10
open_doc	vse	37	40048	29
open_doc	vsn	03	40009	8
open_doc	vsn	04	40009	11
open_doc	vsn	05	40021	27
open_doc	vsn	06	40048	33
open_doc	vsn	07	40048	23
open_doc	vsn	08	40009	10
open_doc	vsn	09	40021	11
open_doc	vsn	11	40048	8
open_doc	vsn	12	40009	20
open_doc	vsn	13	40009	5
open_doc	vsn	14	40021	15
open_doc	vsn	15	40048	8
open_doc	vsn	16	40048	20
open_doc	vsn	17	40009	15
open_doc	vsn	18	40021	14
open_doc	vsn	19	40021	12
open_doc	vsn	20	40048	5
open_doc	vsn	21	40009	18
open_doc	vsn	22	40009	25
open_doc	vsn	23	40021	9
open_doc	vsn	24	40048	18
open_doc	vsn	25	40048	7
open_doc	vsn	26	40009	9
open_doc	vsn	27	40021	28
open_doc	vsn	28	40021	9
open_doc	vsn	30	40009	8
open_doc	vsn	31	40009	24
open_doc	vsn	32	40021	19
open_doc	vsn	33	40048	9
open_doc	vsn	34	40048	11
open_doc	vsn	35	40009	19
open_doc	vsn	36	40021	34
open_doc	vsn	37	40021	23
remove_note	vse	06	40009	11
remove_note	vse	12	40021	2
remove_note	vse	18	40048	3
remove_note	vse	20	40009	2
remove_note	vse	22	40021	1
remove_note	vse	24	40009	2
remove_note	vse	27	40048	1
remove_note	vse	30	40021	1
remove_note	vse	31	40021	1
remove_note	vse	35	40021	3
remove_note	vsn	05	40021	3
remove_note	vsn	06	40048	4
remove_note	vsn	07	40048	2
remove_note	vsn	09	40021	1
remove_note	vsn	12	40009	1
remove_note	vsn	14	40021	1
remove_note	vsn	18	40021	2
remove_note	vsn	24	40048	1
remove_note	vsn	35	40009	2
remove_note	vsn	36	40021	1
reset_poi	vse	04	40021	4
reset_poi	vse	05	40048	5
reset_poi	vse	07	40009	4
reset_poi	vse	08	40021	1
reset_poi	vse	09	40048	4
reset_poi	vse	13	40021	4
reset_poi	vse	14	40048	7
reset_poi	vse	16	40009	1
reset_poi	vse	17	40021	1
reset_poi	vse	18	40048	1
reset_poi	vse	20	40009	4
reset_poi	vse	21	40021	1
reset_poi	vse	22	40021	4
reset_poi	vse	25	40009	1
reset_poi	vse	30	40021	1
reset_poi	vse	31	40021	2
reset_poi	vse	37	40048	4
reset_poi	vsn	03	40009	1
reset_poi	vsn	04	40009	1
reset_poi	vsn	06	40048	4
reset_poi	vsn	11	40048	3
reset_poi	vsn	12	40009	2
reset_poi	vsn	13	40009	5
reset_poi	vsn	14	40021	3
reset_poi	vsn	16	40048	2
reset_poi	vsn	17	40009	3
reset_poi	vsn	18	40021	1
reset_poi	vsn	21	40009	1
reset_poi	vsn	24	40048	1
reset_poi	vsn	30	40009	1
reset_poi	vsn	31	40009	4
reset_visualization	vse	03	40021	36
reset_visualization	vse	04	40021	28
reset_visualization	vse	05	40048	9
reset_visualization	vse	06	40009	4
reset_visualization	vse	07	40009	8
reset_visualization	vse	08	40021	8
reset_visualization	vse	09	40048	7
reset_visualization	vse	11	40009	41
reset_visualization	vse	12	40021	9
reset_visualization	vse	13	40021	7
reset_visualization	vse	14	40048	12
reset_visualization	vse	15	40009	11
reset_visualization	vse	16	40009	5
reset_visualization	vse	17	40021	10
reset_visualization	vse	18	40048	4
reset_visualization	vse	19	40048	7
reset_visualization	vse	20	40009	24
reset_visualization	vse	21	40021	6
reset_visualization	vse	22	40021	13
reset_visualization	vse	23	40048	10
reset_visualization	vse	24	40009	14
reset_visualization	vse	25	40009	8
reset_visualization	vse	26	40021	11
reset_visualization	vse	27	40048	11
reset_visualization	vse	28	40048	5
reset_visualization	vse	30	40021	12
reset_visualization	vse	31	40021	13
reset_visualization	vse	32	40048	15
reset_visualization	vse	33	40009	2
reset_visualization	vse	34	40009	3
reset_visualization	vse	35	40021	9
reset_visualization	vse	36	40048	7
reset_visualization	vse	37	40048	12
reset_visualization	vsn	03	40009	23
reset_visualization	vsn	04	40009	20
reset_visualization	vsn	05	40021	5
reset_visualization	vsn	06	40048	8
reset_visualization	vsn	07	40048	12
reset_visualization	vsn	08	40009	7
reset_visualization	vsn	09	40021	12
reset_visualization	vsn	11	40048	30
reset_visualization	vsn	12	40009	17
reset_visualization	vsn	13	40009	3
reset_visualization	vsn	14	40021	13
reset_visualization	vsn	15	40048	5
reset_visualization	vsn	16	40048	13
reset_visualization	vsn	17	40009	11
reset_visualization	vsn	18	40021	5
reset_visualization	vsn	19	40021	9
reset_visualization	vsn	20	40048	22
reset_visualization	vsn	21	40009	7
reset_visualization	vsn	22	40009	6
reset_visualization	vsn	23	40021	6
reset_visualization	vsn	24	40048	8
reset_visualization	vsn	25	40048	3
reset_visualization	vsn	26	40009	9
reset_visualization	vsn	27	40021	17
reset_visualization	vsn	28	40021	7
reset_visualization	vsn	30	40009	9
reset_visualization	vsn	31	40009	18
reset_visualization	vsn	32	40021	14
reset_visualization	vsn	33	40048	8
reset_visualization	vsn	34	40048	11
reset_visualization	vsn	35	40009	6
reset_visualization	vsn	36	40021	15
reset_visualization	vsn	37	40021	8
save_note	vse	03	40021	9
save_note	vse	04	40021	8
save_note	vse	05	40048	9
save_note	vse	06	40009	34
save_note	vse	07	40009	6
save_note	vse	08	40021	6
save_note	vse	09	40048	38
save_note	vse	11	40009	11
save_note	vse	12	40021	11
save_note	vse	13	40021	6
save_note	vse	14	40048	8
save_note	vse	15	40009	7
save_note	vse	16	40009	13
save_note	vse	17	40021	10
save_note	vse	18	40048	15
save_note	vse	19	40048	13
save_note	vse	20	40009	4
save_note	vse	21	40021	19
save_note	vse	22	40021	8
save_note	vse	23	40048	10
save_note	vse	24	40009	10
save_note	vse	25	40009	9
save_note	vse	26	40021	4
save_note	vse	27	40048	11
save_note	vse	28	40048	8
save_note	vse	30	40021	17
save_note	vse	31	40021	10
save_note	vse	32	40048	16
save_note	vse	33	40009	17
save_note	vse	34	40009	6
save_note	vse	35	40021	11
save_note	vse	36	40048	9
save_note	vse	37	40048	19
save_note	vsn	03	40009	7
save_note	vsn	04	40009	7
save_note	vsn	05	40021	8
save_note	vsn	06	40048	9
save_note	vsn	07	40048	6
save_note	vsn	08	40009	7
save_note	vsn	09	40021	14
save_note	vsn	11	40048	13
save_note	vsn	12	40009	6
save_note	vsn	13	40009	7
save_note	vsn	14	40021	7
save_note	vsn	15	40048	9
save_note	vsn	16	40048	14
save_note	vsn	17	40009	11
save_note	vsn	18	40021	11
save_note	vsn	19	40021	10
save_note	vsn	20	40048	8
save_note	vsn	21	40009	11
save_note	vsn	22	40009	6
save_note	vsn	23	40021	14
save_note	vsn	24	40048	12
save_note	vsn	25	40048	14
save_note	vsn	26	40009	6
save_note	vsn	27	40021	7
save_note	vsn	28	40021	10
save_note	vsn	30	40009	9
save_note	vsn	31	40009	9
save_note	vsn	32	40021	17
save_note	vsn	33	40048	7
save_note	vsn	34	40048	11
save_note	vsn	35	40009	17
save_note	vsn	36	40021	13
save_note	vsn	37	40021	22
search	vse	03	40021	36
search	vse	04	40021	28
search	vse	05	40048	9
search	vse	06	40009	4
search	vse	07	40009	8
search	vse	08	40021	8
search	vse	09	40048	7
search	vse	11	40009	41
search	vse	12	40021	9
search	vse	13	40021	7
search	vse	14	40048	12
search	vse	15	40009	11
search	vse	16	40009	5
search	vse	17	40021	10
search	vse	18	40048	4
search	vse	19	40048	7
search	vse	20	40009	24
search	vse	21	40021	6
search	vse	22	40021	13
search	vse	23	40048	10
search	vse	24	40009	14
search	vse	25	40009	8
search	vse	26	40021	11
search	vse	27	40048	11
search	vse	28	40048	5
search	vse	30	40021	12
search	vse	31	40021	13
search	vse	32	40048	15
search	vse	33	40009	2
search	vse	34	40009	3
search	vse	35	40021	9
search	vse	36	40048	7
search	vse	37	40048	12
search	vsn	03	40009	23
search	vsn	04	40009	20
search	vsn	05	40021	5
search	vsn	06	40048	8
search	vsn	07	40048	12
search	vsn	08	40009	7
search	vsn	09	40021	12
search	vsn	11	40048	30
search	vsn	12	40009	17
search	vsn	13	40009	3
search	vsn	14	40021	13
search	vsn	15	40048	5
search	vsn	16	40048	13
search	vsn	17	40009	11
search	vsn	18	40021	5
search	vsn	19	40021	9
search	vsn	20	40048	22
search	vsn	21	40009	7
search	vsn	22	40009	6
search	vsn	23	40021	6
search	vsn	24	40048	8
search	vsn	25	40048	3
search	vsn	26	40009	9
search	vsn	27	40021	17
search	vsn	28	40021	7
search	vsn	30	40009	8
search	vsn	31	40009	18
search	vsn	32	40021	14
search	vsn	33	40048	8
search	vsn	34	40048	11
search	vsn	35	40009	6
search	vsn	36	40021	15
search	vsn	37	40021	8
select_cluster	vse	05	40048	1
select_cluster	vse	06	40009	1
select_cluster	vse	08	40021	3
select_cluster	vse	09	40048	5
select_cluster	vse	11	40009	5
select_cluster	vse	15	40009	2
select_cluster	vse	26	40021	28
select_cluster	vse	28	40048	3
select_cluster	vse	32	40048	5
select_cluster	vse	37	40048	3
select_cluster	vsn	03	40009	7
select_cluster	vsn	05	40021	1
select_cluster	vsn	06	40048	1
select_cluster	vsn	08	40009	2
select_cluster	vsn	09	40021	27
select_cluster	vsn	14	40021	2
select_cluster	vsn	15	40048	5
select_cluster	vsn	20	40048	4
select_cluster	vsn	23	40021	2
select_cluster	vsn	26	40009	16
select_cluster	vsn	28	40021	15
select_cluster	vsn	31	40009	6
select_cluster	vsn	32	40021	7
select_doc	vse	03	40021	29
select_doc	vse	04	40021	35
select_doc	vse	05	40048	62
select_doc	vse	06	40009	11
select_doc	vse	07	40009	23
select_doc	vse	08	40021	37
select_doc	vse	09	40048	30
select_doc	vse	11	40009	33
select_doc	vse	12	40021	38
select_doc	vse	13	40021	13
select_doc	vse	14	40048	31
select_doc	vse	15	40009	33
select_doc	vse	16	40009	10
select_doc	vse	17	40021	23
select_doc	vse	18	40048	23
select_doc	vse	19	40048	21
select_doc	vse	20	40009	32
select_doc	vse	21	40021	17
select_doc	vse	22	40021	38
select_doc	vse	23	40048	16
select_doc	vse	24	40009	26
select_doc	vse	25	40009	20
select_doc	vse	26	40021	48
select_doc	vse	27	40048	88
select_doc	vse	28	40048	5
select_doc	vse	30	40021	8
select_doc	vse	32	40048	7
select_doc	vse	33	40009	6
select_doc	vse	34	40009	3
select_doc	vsn	03	40009	23
select_doc	vsn	04	40009	22
select_doc	vsn	05	40021	55
select_doc	vsn	06	40048	73
select_doc	vsn	07	40048	46
select_doc	vsn	08	40009	31
select_doc	vsn	09	40021	27
select_doc	vsn	11	40048	17
select_doc	vsn	12	40009	42
select_doc	vsn	13	40009	6
select_doc	vsn	14	40021	36
select_doc	vsn	15	40048	21
select_doc	vsn	16	40048	23
select_doc	vsn	17	40009	22
select_doc	vsn	18	40021	28
select_doc	vsn	19	40021	26
select_doc	vsn	20	40048	13
select_doc	vsn	21	40009	42
select_doc	vsn	22	40009	44
select_doc	vsn	23	40021	18
select_doc	vsn	24	40048	21
select_doc	vsn	25	40048	15
select_doc	vsn	26	40009	37
select_doc	vsn	27	40021	58
select_doc	vsn	28	40021	10
select_doc	vsn	30	40009	5
select_doc	vsn	32	40021	11
select_doc	vsn	33	40048	19
select_doc	vsn	34	40048	4
select_freq_pois_button	vsn	05	40021	2
select_freq_pois_button	vsn	06	40048	2
select_freq_pois_button	vsn	08	40009	1
select_freq_pois_button	vsn	13	40009	2
select_good_pois_button	vse	03	40021	1
select_good_pois_button	vse	11	40009	1
select_good_pois_button	vse	14	40048	1
select_good_pois_button	vse	30	40021	1
select_good_pois_button	vse	32	40048	1
select_good_pois_button	vse	37	40048	3
select_good_pois_button	vsn	05	40021	2
select_good_pois_button	vsn	06	40048	1
select_good_pois_button	vsn	13	40009	3
select_good_pois_button	vsn	21	40009	3
select_good_pois_button	vsn	23	40021	1
select_good_pois_button	vsn	24	40048	1
select_good_pois_button	vsn	37	40021	1
select_poi	vse	03	40021	11
select_poi	vse	04	40021	5
select_poi	vse	07	40009	1
select_poi	vse	08	40021	11
select_poi	vse	09	40048	5
select_poi	vse	11	40009	2
select_poi	vse	13	40021	7
select_poi	vse	14	40048	11
select_poi	vse	15	40009	6
select_poi	vse	16	40009	1
select_poi	vse	17	40021	2
select_poi	vse	19	40048	9
select_poi	vse	22	40021	6
select_poi	vse	23	40048	3
select_poi	vse	24	40009	3
select_poi	vse	26	40021	19
select_poi	vse	27	40048	1
select_poi	vse	28	40048	5
select_poi	vse	31	40021	6
select_poi	vse	32	40048	1
select_poi	vse	35	40021	5
select_poi	vse	36	40048	4
select_poi	vse	37	40048	3
select_poi	vsn	03	40009	9
select_poi	vsn	08	40009	9
select_poi	vsn	09	40021	12
select_poi	vsn	12	40009	1
select_poi	vsn	13	40009	2
select_poi	vsn	14	40021	16
select_poi	vsn	15	40048	8
select_poi	vsn	16	40048	1
select_poi	vsn	19	40021	12
select_poi	vsn	22	40009	2
select_poi	vsn	23	40021	8
select_poi	vsn	26	40009	10
select_poi	vsn	27	40021	8
select_poi	vsn	28	40021	4
select_poi	vsn	30	40009	1
